"","TeamPage","Rank","Name","Games","Wins","Losses","Ties","PointsFor","PointsAgainst","HE","SD","FE","SE"
"90","https://www.curlingzone.com/team.php?teamid=135302&profileid=&view=OOM&OOMweek=37#1",90,"Steven Howard","47","24","23",NA,"6.7","7.07","0.32","0.26","0.6","0.22"
"91","https://www.curlingzone.com/team.php?teamid=133962&profileid=&view=OOM&OOMweek=37#1",91,"Sandy MacEwan","30","21","9",NA,"8.85","5.67","0.43","0.17","0.53","0.31"
"92","https://www.curlingzone.com/team.php?teamid=137846&profileid=&view=OOM&OOMweek=37#1",92,"Jermu Pollanen","35","23","12",NA,"9.23","6.42","0.39","0.26","0.57","0.35"
"93","https://www.curlingzone.com/team.php?teamid=140804&profileid=&view=OOM&OOMweek=37#1",93,"Bruce Korte","19","14","5",NA,"8.61","5.41","0.47","0.18","0.67","0.28"
"94","https://www.curlingzone.com/team.php?teamid=134734&profileid=&view=OOM&OOMweek=37#1",94,"Rob Ainsley","37","19","18",NA,"6.73","7.1","0.27","0.28","0.45","0.29"
"95","https://www.curlingzone.com/team.php?teamid=136679&profileid=&view=OOM&OOMweek=37#1",95,"Daniel Birchard","25","14","11",NA,"6.8","6.09","0.24","0.38","0.68","0.3"
"96","https://www.curlingzone.com/team.php?teamid=135173&profileid=&view=OOM&OOMweek=37#1",96,"Mark Homan","32","21","11",NA,"8.11","6.68","0.38","0.23","0.61","0.3"
"97","https://www.curlingzone.com/team.php?teamid=134835&profileid=&view=OOM&OOMweek=37#1",97,"Chase Sinnett","43","20","23",NA,"6.89","6.72","0.36","0.28","0.56","0.28"
"98","https://www.curlingzone.com/team.php?teamid=139600&profileid=&view=OOM&OOMweek=37#1",98,"Alek Bedard","31","17","14",NA,"7.89","7.11","0.42","0.21","0.51","0.27"
"99","https://www.curlingzone.com/team.php?teamid=134287&profileid=&view=OOM&OOMweek=37#1",99,"Matthew Hall","46","20","26",NA,"7.46","7.21","0.36","0.24","0.54","0.23"
"100","https://www.curlingzone.com/team.php?teamid=133976&profileid=&view=OOM&OOMweek=37#1",100,"Tyler Stewart","40","19","21",NA,"7.12","6.81","0.35","0.25","0.62","0.27"
"101","https://www.curlingzone.com/team.php?teamid=135545&profileid=&view=OOM&OOMweek=37#1",101,"Evan van Amsterdam","36","19","17",NA,"7.69","6.87","0.38","0.31","0.58","0.28"
"102","https://www.curlingzone.com/team.php?teamid=134846&profileid=&view=OOM&OOMweek=37#1",102,"Andrew Symonds","38","23","15",NA,"7.39","6.56","0.42","0.26","0.56","0.3"
"103","https://www.curlingzone.com/team.php?teamid=136670&profileid=&view=OOM&OOMweek=37#1",103,"Josh Heidt","42","23","19",NA,"7.41","7.25","0.35","0.27","0.59","0.24"
"104","https://www.curlingzone.com/team.php?teamid=135152&profileid=&view=OOM&OOMweek=37#1",104,"Steven Munroe","33","19","14",NA,"8.76","7.17","0.41","0.19","0.45","0.29"
"105","https://www.curlingzone.com/team.php?teamid=134727&profileid=&view=OOM&OOMweek=37#1",105,"Jake Horgan","42","19","23",NA,"6.58","6.55","0.3","0.21","0.56","0.23"
"106","https://www.curlingzone.com/team.php?teamid=134058&profileid=&view=OOM&OOMweek=37#1",106,"Steve Allen","32","15","17",NA,"6.63","6.47","0.33","0.22","0.54","0.24"
"107","https://www.curlingzone.com/team.php?teamid=141705&profileid=&view=OOM&OOMweek=37#1",107,"James Craik","35","20","15",NA,"6.41","5.71","0.35","0.23","0.59","0.24"
"108","https://www.curlingzone.com/team.php?teamid=139452&profileid=&view=OOM&OOMweek=37#1",108,"Borys Jasiecki","28","18","10",NA,"8.85","6.79","0.48","0.21","0.57","0.3"
"109","https://www.curlingzone.com/team.php?teamid=135158&profileid=&view=OOM&OOMweek=37#1",109,"Greg Balsdon","30","20","10",NA,"9.9","7.18","0.47","0.26","0.5","0.34"
"110","https://www.curlingzone.com/team.php?teamid=134874&profileid=&view=OOM&OOMweek=37#1",110,"Jongduk Park","19","12","7",NA,"7.96","6.13","0.41","0.2","0.5","0.27"
"111","https://www.curlingzone.com/team.php?teamid=135019&profileid=&view=OOM&OOMweek=37#1",111,"Sam Steep","40","16","24",NA,"6.45","7.84","0.26","0.26","0.49","0.23"
"112","https://www.curlingzone.com/team.php?teamid=138992&profileid=&view=OOM&OOMweek=37#1",112,"Dayna Deruelle","28","15","13",NA,"7.42","7.02","0.34","0.25","0.53","0.28"
"113","https://www.curlingzone.com/team.php?teamid=135346&profileid=&view=OOM&OOMweek=37#1",113,"Yves Wagenseil","37","15","22",NA,"6.37","7.23","0.23","0.27","0.54","0.25"
