,TeamName,WinningPct,Pythag1,Wins,Wins1,Delta
82,Jan Klossner,0.419,0.385,18,16.6,1.3999999999999986
83,SooHyuk Kim,0.524,0.512,11,10.8,0.1999999999999993
84,Daniel Wenzek,0.526,0.529,20,20.1,-0.10000000000000142
85,Jean-Sebastien Roy,0.615,0.532,16,13.8,2.1999999999999993
86,Richard Krell,0.594,0.573,19,18.3,0.6999999999999993
87,Marc Muskatewitz,0.489,0.48,22,21.6,0.3999999999999986
88,Brent MacDougall,0.487,0.469,19,18.3,0.6999999999999993
89,Steven Howard,0.511,0.473,24,22.2,1.8000000000000007
90,Sandy MacEwan,0.7,0.709,21,21.3,-0.3000000000000007
91,Jermu Pollanen,0.657,0.674,23,23.6,-0.6000000000000014
92,Bruce Korte,0.737,0.717,14,13.6,0.40000000000000036
93,Rob Ainsley,0.514,0.473,19,17.5,1.5
94,Daniel Birchard,0.56,0.555,14,13.9,0.09999999999999964
95,Mark Homan,0.656,0.596,21,19.1,1.8999999999999986
96,Chase Sinnett,0.465,0.512,20,22.0,-2.0
97,Alek Bedard,0.548,0.552,17,17.1,-0.10000000000000142
98,Matthew Hall,0.435,0.517,20,23.8,-3.8000000000000007
99,Tyler Stewart,0.667,0.602,8,7.2,0.7999999999999998
100,Evan van Amsterdam,0.528,0.556,19,20.0,-1.0
101,Andrew Symonds,0.605,0.559,23,21.2,1.8000000000000007
102,Josh Heidt,0.548,0.511,23,21.5,1.5
103,Steven Munroe,0.576,0.599,19,19.8,-0.8000000000000007
104,Jake Horgan,0.452,0.502,19,21.1,-2.1000000000000014
105,Steve Allen,0.469,0.512,15,16.4,-1.3999999999999986
106,James Craik,0.571,0.558,20,19.5,0.5
107,Borys Jasiecki,0.643,0.629,18,17.6,0.3999999999999986
108,Greg Balsdon,0.667,0.655,20,19.7,0.3000000000000007
109,Jongduk Park,0.632,0.628,12,11.9,0.09999999999999964
110,Sam Steep,0.4,0.404,16,16.2,-0.1999999999999993
111,Dayna Deruelle,0.536,0.528,15,14.8,0.1999999999999993
112,Yves Wagenseil,0.405,0.437,15,16.2,-1.1999999999999993
113,Steve Irwin,0.737,0.641,14,12.2,1.8000000000000007
114,Rylan Kleiter,0.633,0.607,19,18.2,0.8000000000000007
115,Marco Hoesli,0.477,0.527,21,23.2,-2.1999999999999993
116,Bryan Cochrane,0.577,0.589,15,15.3,-0.3000000000000007
117,Ryan Deis,0.517,0.485,15,14.1,0.9000000000000004
118,Jason Montgomery,0.48,0.464,12,11.6,0.40000000000000036
119,Ed Cyr,0.424,0.5,14,16.5,-2.5
120,Dean Joanisse,0.538,0.515,14,13.4,0.5999999999999996
121,Mikkel Krause,0.5,0.496,11,10.9,0.09999999999999964
122,Trent Skanes,0.677,0.64,21,19.8,1.1999999999999993
123,Matthew Manuel,0.531,0.57,17,18.2,-1.1999999999999993
124,Kelly Marnoch,0.438,0.458,7,7.3,-0.2999999999999998
125,Cory Heggestad,0.526,0.51,10,9.7,0.3000000000000007
126,Sergio Vez,0.667,0.722,20,21.7,-1.6999999999999993
127,Cameron Goodkey,0.286,0.374,2,2.6,-0.6000000000000001
128,Steffen R. Mellemseter,0.471,0.494,8,8.4,-0.40000000000000036
129,Martins Truksans,0.545,0.508,18,16.8,1.1999999999999993
130,Scott Webb,0.588,0.555,20,18.9,1.1000000000000014
131,Hamish Gallacher,0.556,0.549,15,14.8,0.1999999999999993
132,Cole Adams,0.545,0.535,12,11.8,0.1999999999999993
133,Jordan Smith,0.441,0.549,15,18.7,-3.6999999999999993
134,Jordan Chandler,0.486,0.473,17,16.6,0.3999999999999986
135,Daniel Bruce,0.625,0.542,15,13.0,2.0
136,Brandon Corbett,0.559,0.518,19,17.6,1.3999999999999986
137,Ryan Jacques,0.571,0.543,12,11.4,0.5999999999999996
138,Rob Johnson,0.5,0.5,14,14.0,0.0
139,Brad Wood,0.344,0.443,11,14.2,-3.1999999999999993
140,Brett Walter,0.468,0.504,22,23.7,-1.6999999999999993
141,Neil Dangerfield,0.423,0.474,11,12.3,-1.3000000000000007
142,Jason Roach,0.722,0.649,13,11.7,1.3000000000000007
143,Colin Thomas,0.643,0.615,18,17.2,0.8000000000000007
144,Wes Craig,0.5,0.477,8,7.6,0.40000000000000036
145,Doug Johnston,0.667,0.598,10,9.0,1.0
146,Kevin Park,0.414,0.433,12,12.6,-0.5999999999999996
147,Sam Wills,0.444,0.421,12,11.4,0.5999999999999996
148,Brady Kendel,0.565,0.555,13,12.8,0.1999999999999993
149,Brad Heidt,0.458,0.442,11,10.6,0.40000000000000036
150,Rene Comeau,0.55,0.515,11,10.3,0.6999999999999993
151,Simon Hebert,0.333,0.346,8,8.3,-0.3000000000000007
152,Shane Vollman,0.469,0.495,15,15.8,-0.8000000000000007
153,Riley Smith,0.308,0.385,12,15.0,-3.0
154,Shingo Usui,0.382,0.413,13,14.0,-1.0
155,Tobias Thune,0.824,0.718,14,12.2,1.8000000000000007
156,Warren Cross,0.484,0.469,15,14.5,0.5
157,Codey Maus,0.833,0.715,5,4.3,0.7000000000000002
158,David Sik,0.455,0.421,10,9.3,0.6999999999999993
159,Jacob Libbus,0.545,0.503,12,11.1,0.9000000000000004
160,Junpei Kanda,0.342,0.32,13,12.8,0.1999999999999993
161,Terry Meek,0.421,0.509,8,9.7,-1.6999999999999993
162,Trevor Loreth,0.5,0.403,5,4.0,1.0
163,Sean O'Connor,0.429,0.366,9,7.7,1.2999999999999998
164,Sixten Totzek,0.588,0.564,10,9.6,0.40000000000000036
165,Mark Lukowich,0.5,0.414,5,4.1,0.9000000000000004
166,Kyle Kakela,0.562,0.477,9,7.6,1.4000000000000004
167,Ben Gamble,0.458,0.47,11,11.3,-0.3000000000000007
168,Michael Carss,0.481,0.524,13,14.1,-1.0999999999999996
169,Jeff Hartung,0.474,0.49,9,9.3,-0.3000000000000007
170,Steven Birklid,0.5,0.493,11,10.8,0.1999999999999993
171,Cole Tenetuik,0.562,0.506,9,8.1,0.9000000000000004
172,Mark Longworth,0.381,0.424,8,8.9,-0.9000000000000004
173,Darryl Sobering,0.444,0.552,8,9.9,-1.9000000000000004
174,Alexander Lindstroem,0.667,0.632,4,3.8,0.20000000000000018
175,Andreas Adersteg,0.571,0.471,4,3.3,0.7000000000000002
176,Luke Carson,0.381,0.36,8,7.6,0.40000000000000036
177,Brandon Tippin,0.364,0.365,8,8.0,0.0
178,Rob Retchless,0.65,0.634,13,12.7,0.3000000000000007
179,Eren  Oleson,0.333,0.365,5,5.5,-0.5
180,Kyle Foster,0.25,0.261,6,6.3,-0.2999999999999998
181,Sean Hall,0.571,0.644,8,9.0,-1.0
182,Ryo Ogihara,0.5,0.453,10,9.1,0.9000000000000004
183,Hayato Matsumura,0.6,0.382,3,1.9,1.1
184,Warren Kozak,0.348,0.459,8,10.6,-2.5999999999999996
185,Joshua Friesen,0.611,0.51,11,9.2,1.8000000000000007
186,Jeff Stewart,0.667,0.602,8,7.2,0.7999999999999998
187,Jamie Koe,0.588,0.593,10,10.1,-0.09999999999999964
188,Pascal Michaud,0.438,0.474,7,7.6,-0.5999999999999996
189,Travis Bale,0.417,0.46,5,5.5,-0.5
190,Andrew Gibson,0.381,0.325,8,6.8,1.2000000000000002
191,Jason March,0.467,0.463,7,6.9,0.09999999999999964
192,Graham McFarlane,0.45,0.414,9,8.3,0.6999999999999993
193,Tyson Armstrong,0.467,0.419,7,6.3,0.7000000000000002
194,Grunde Buras,0.714,0.488,5,3.4,1.6
195,Martin Crete,0.75,0.74,3,3.0,0.0
196,Jamie King,0.5,0.475,7,6.6,0.40000000000000036
197,Alexey Timofeev,0.545,0.517,6,5.7,0.2999999999999998
198,Scott Egger,0.6,0.56,6,5.6,0.40000000000000036
199,Ilya Shalamitski,0.529,0.466,9,7.9,1.0999999999999996
200,Naomasa Takeda,0.389,0.359,7,7.2,-0.20000000000000018
201,Yuya Takigahira,0.444,0.365,4,3.3,0.7000000000000002
202,Stephen Imes,0.6,0.64,6,6.4,-0.40000000000000036
203,Rylan Hartley,0.333,0.341,7,7.2,-0.20000000000000018
204,Claudio Pescia,0.714,0.61,5,4.3,0.7000000000000002
205,Graeme Weagle,0.5,0.489,8,7.8,0.20000000000000018
206,Scott Becker,0.545,0.681,6,7.5,-1.5
207,Suguru Tsukamoto,0.583,0.557,7,6.7,0.2999999999999998
208,Benoit Gagne,0.5,0.544,4,4.4,-0.40000000000000036
209,Glen Jackson,0.333,0.288,5,4.3,0.7000000000000002
210,Frederic Lawton,0.4,0.464,10,11.6,-1.5999999999999996
211,Jose Maria Hernandez Berenguer,0.545,0.61,6,6.7,-0.7000000000000002
212,Dale Kelly,0.6,0.531,6,5.3,0.7000000000000002
213,Aleksandr Kirikov,1.0,0.782,5,3.9,1.1
214,Scott Comfort,0.467,0.549,7,8.2,-1.1999999999999993
215,Anders Kraupp,0.6,0.348,3,1.7,1.3
216,Gustav Koehn,0.6,0.537,3,2.7,0.2999999999999998
217,Anders Antonsson,0.75,0.48,3,1.9,1.1
218,Kevin Tym,0.45,0.5,9,10.0,-1.0
219,Ugurcan Karagoz,0.7,0.576,7,5.8,1.2000000000000002
220,Mikhail Vaskov,0.636,0.713,7,7.8,-0.7999999999999998
221,Gerry Savoie,0.857,0.677,6,4.7,1.2999999999999998
222,Zsolt Kiss,0.571,0.513,4,3.6,0.3999999999999999
223,Noe Traub,0.364,0.417,8,9.2,-1.1999999999999993
224,Jan Iseli,0.333,0.483,7,10.1,-3.0999999999999996
225,Kantaro Kawano,0.4,0.462,6,6.9,-0.9000000000000004
226,Ken Peddigrew,0.368,0.423,7,8.0,-1.0
227,Mark Noseworthy,0.5,0.484,9,8.7,0.3000000000000007
228,Sam Mooibroek,0.3,0.396,6,7.9,-1.9000000000000004
229,Terry Odishaw,0.636,0.615,7,6.8,0.20000000000000018
230,Robert Kwan,0.833,0.652,5,3.9,1.1
231,Daymond Bernath,0.5,0.388,5,3.9,1.1
232,Jeff Thomas,0.583,0.588,7,7.1,-0.09999999999999964
233,Chris Medford,0.5,0.509,11,11.2,-0.1999999999999993
234,Kyle McCannell,0.257,0.271,9,9.5,-0.5
235,Rick Rowsell,0.474,0.431,9,8.2,0.8000000000000007
236,Andrew Reed,0.217,0.343,5,7.9,-2.9000000000000004
237,Carson Ackerman,0.2,0.215,5,5.4,-0.40000000000000036
238,Kevin Tuma,0.429,0.44,6,6.2,-0.20000000000000018
239,Jamie Birtwistle,0.5,0.557,5,5.6,-0.5999999999999996
240,Ryan Hlatkey,0.462,0.437,6,5.7,0.2999999999999998
241,Dylan Johnston,0.615,0.622,8,8.1,-0.09999999999999964
242,Chad Dahlseide,0.435,0.447,10,10.3,-0.3000000000000007
243,Thomas Scoffin,0.294,0.322,5,5.5,-0.5
244,Nathan Young,0.5,0.552,10,11.0,-1.0
245,Tyler Smith,0.6,0.573,9,8.6,0.40000000000000036
246,Sebastian Wunderer,0.174,0.228,4,5.2,-1.2000000000000002
247,Brett Henderson,0.667,0.67,6,6.0,0.0
248,Evan Ugland,0.571,0.603,4,4.2,-0.20000000000000018
249,Dylan Niepage,0.333,0.367,3,3.3,-0.2999999999999998
250,Kevin Ouellette,0.409,0.417,9,9.2,-0.1999999999999993
251,Scott Hill,0.455,0.406,5,4.5,0.5
252,Matthew Kennerknecht,0.385,0.395,5,5.1,-0.09999999999999964
253,Jasmin Gibeau,0.533,0.564,8,8.5,-0.5
254,Gontzal Garcia,0.909,0.819,10,9.0,1.0
255,Kriss Vonda,0.4,0.387,4,3.9,0.10000000000000009
256,Guy Simard,0.833,0.677,5,4.1,0.9000000000000004
257,Ryan Sayer,0.5,0.439,10,8.8,1.1999999999999993
258,Jack Smeltzer,0.5,0.5,3,3.0,0.0
259,Kristian Lindstroem,0.6,0.726,3,3.6,-0.6000000000000001
260,Tomoya Watanabe,0.5,0.393,6,5.1,0.9000000000000004
261,Jon St. Denis,0.75,0.658,3,2.6,0.3999999999999999
262,Luca Rizzolli,0.333,0.369,5,5.5,-0.5
263,Christian Bangerter,0.316,0.408,6,7.8,-1.7999999999999998
264,Martin Rios,0.556,0.524,5,4.7,0.2999999999999998
265,Trevor Hanson,0.45,0.528,9,10.6,-1.5999999999999996
266,Greg Smith,0.31,0.373,9,10.8,-1.8000000000000007
267,Harri Lill,0.533,0.535,8,8.0,0.0
268,Craig Nicko,0.3,0.325,3,3.2,-0.20000000000000018
269,Andrew Reed,0.429,0.466,6,6.5,-0.5
270,Randie Shen,0.556,0.587,5,5.3,-0.2999999999999998
271,Ryan Thomson,0.429,0.475,3,3.3,-0.2999999999999998
272,Travis Tokarz,0.391,0.443,9,10.2,-1.1999999999999993
273,Rick Law,0.833,0.632,5,3.8,1.2000000000000002
274,Yeong Seok Jeong,0.667,0.636,6,5.7,0.2999999999999998
275,Ryan Norman,0.357,0.364,5,5.1,-0.09999999999999964
276,Eduard Veltsman,0.444,0.5,4,4.5,-0.5
277,Kalem Hamilton,0.375,0.387,9,9.3,-0.3000000000000007
278,Richard Muntain,0.5,0.411,4,3.3,0.7000000000000002
279,Owen Purdy,0.462,0.476,6,6.2,-0.20000000000000018
280,Hayato Sato,0.5,0.464,6,5.6,0.40000000000000036
281,Hiroki Yoshioka,0.5,0.464,7,6.5,0.5
282,HaoChen Shi,0.75,0.559,3,2.2,0.7999999999999998
283,Darren Perche,0.455,0.515,5,5.7,-0.7000000000000002
284,Mats Wrana,0.333,0.278,3,2.5,0.5
285,Steve Holdaway,0.188,0.228,3,3.6,-0.6000000000000001
286,Vadim Raev,0.308,0.456,4,5.9,-1.9000000000000004
287,Andrey Dudov,0.556,0.5,5,4.5,0.5
288,Nicholas Lemieux,0.333,0.344,8,8.3,-0.3000000000000007
289,Rob Dennis,0.375,0.354,6,5.7,0.2999999999999998
290,Lloyd Fell,0.5,0.571,5,5.7,-0.7000000000000002
291,Nicolas Oake,0.556,0.492,5,4.4,0.5999999999999996
292,Dean Huerlimann,0.444,0.371,4,3.3,0.7000000000000002
293,Kenji Takamatsu,0.5,0.445,4,3.6,0.3999999999999999
294,Steen Sigurdson,0.2,0.323,5,8.1,-3.0999999999999996
295,Cale Dunbar,0.412,0.43,7,7.3,-0.2999999999999998
296,Alan O'Leary,0.333,0.377,4,4.5,-0.5
297,Marti Alonso,0.636,0.432,7,4.8,2.2
298,Callum Kinnear,0.625,0.64,5,5.1,-0.09999999999999964
299,Alex Berube,0.333,0.487,4,5.8,-1.7999999999999998
300,Francois Halle,0.714,0.612,5,4.3,0.7000000000000002
301,Marla Sherrer,0.667,0.5,2,1.5,0.5
302,Gregory Bornais,0.455,0.354,5,3.9,1.1
303,Bernard Larouche,0.667,0.631,4,3.8,0.20000000000000018
304,Joel Charbonneau,0.667,0.783,4,4.7,-0.7000000000000002
305,Ghislain Doyon,0.8,0.785,4,3.9,0.10000000000000009
306,Timo Daniel,0.222,0.258,4,4.6,-0.5999999999999996
307,Ryan Larson,0.667,0.752,4,4.5,-0.5
308,Ansis Regza,0.4,0.29,2,1.4,0.6000000000000001
309,Edward Scimia,0.333,0.295,3,2.7,0.2999999999999998
310,Gert Messing,0.375,0.556,3,4.4,-1.4000000000000004
311,Matt Dupuis,0.417,0.563,5,6.8,-1.7999999999999998
312,James Pougher,0.571,0.425,4,3.0,1.0
313,Eddy Mercier,0.286,0.265,4,3.7,0.2999999999999998
314,Murray Young,0.333,0.36,2,2.2,-0.20000000000000018
315,Dale Goehring,0.294,0.467,5,7.9,-2.9000000000000004
316,Tye Olson,0.176,0.245,3,4.2,-1.2000000000000002
317,Sangwoo Park,0.273,0.335,3,3.7,-0.7000000000000002
318,German Doronin,0.286,0.39,4,5.5,-1.5
319,Takimi Maeda,0.5,0.529,3,3.7,-0.7000000000000002
320,Logan Ede,0.5,0.507,6,6.1,-0.09999999999999964
321,Kei Kamada,0.25,0.236,3,2.8,0.20000000000000018
322,Dustin Woloschuk,0.4,0.379,6,5.7,0.2999999999999998
323,Paul Moffatt,0.5,0.353,4,2.8,1.2000000000000002
324,Ryutaro Tani,0.375,0.401,3,3.2,-0.20000000000000018
325,Johnson Tao,0.444,0.406,4,3.7,0.2999999999999998
326,Shawn Meyer,0.368,0.51,7,9.7,-2.6999999999999993
327,Takuya Ishikawa,0.571,0.5,4,3.5,0.5
328,Ray Baker,0.5,0.404,3,2.4,0.6000000000000001
329,Alberto Pimpini,0.429,0.4,3,2.8,0.20000000000000018
330,Simon Ellenberger,0.429,0.367,3,2.6,0.3999999999999999
331,Felix Attinger,0.5,0.5,3,3.0,0.0
332,Nassar Alyafei,0.333,0.179,3,1.6,1.4
333,Dean North,0.5,0.5,2,2.0,0.0
334,Denis Cordick,0.2,0.302,1,1.5,-0.5
335,Grant Olsen,0.3,0.258,3,2.6,0.3999999999999999
336,Ryan Cain,0.333,0.388,4,4.7,-0.7000000000000002
337,Damien Villard,0.375,0.376,3,3.0,0.0
338,Jeff Brown,0.462,0.394,6,5.1,0.9000000000000004
339,Timothy Verreycken,0.556,0.637,5,5.7,-0.7000000000000002
340,Konstantin Rykov,0.333,0.431,4,5.2,-1.2000000000000002
341,Otto Kalocsay,0.333,0.362,3,3.3,-0.2999999999999998
342,Matt Sussman,0.4,0.2,2,1.0,1.0
343,Mark Dolsen,0.5,0.552,2,2.2,-0.20000000000000018
344,Matthew Neilson,0.333,0.322,3,2.9,0.10000000000000009
345,Kent  Zuravloff,0.5,0.557,7,7.8,-0.7999999999999998
346,Benj Guzman,0.4,0.439,2,2.2,-0.20000000000000018
347,Llorenc Aparicio,0.556,0.445,5,4.0,1.0
348,Mike Callaghan,0.286,0.375,4,5.2,-1.2000000000000002
349,Peng Han,0.25,0.311,3,3.7,-0.7000000000000002
350,Nathan Molberg,0.444,0.53,4,4.8,-0.7999999999999998
351,Charlie Robert,0.385,0.399,5,5.2,-0.20000000000000018
352,Kevin Kakela,0.333,0.2,3,1.8,1.2
353,Shea Steele,0.188,0.28,3,4.5,-1.5
354,Bent Anund Ramsfjell,0.6,0.614,3,3.1,-0.10000000000000009
355,Ryan Grabarczyk,0.429,0.432,3,3.0,0.0
356,Graham Freeman,0.5,0.487,3,2.9,0.10000000000000009
357,Greg Cheal,0.312,0.393,5,6.3,-1.2999999999999998
358,Trevor Funk,0.444,0.441,4,4.0,0.0
359,Jay Kinnaird,0.375,0.25,3,2.0,1.0
360,Keisaku Takada,0.333,0.141,3,1.3,1.7
361,Reto Keller,0.4,0.417,2,2.1,-0.10000000000000009
362,Nathen Pomedli,0.273,0.311,3,3.4,-0.3999999999999999
363,Abylay Zhuzbay,0.222,0.3,2,2.7,-0.7000000000000002
364,Garry Janz,0.4,0.413,2,2.1,-0.10000000000000009
365,Cody Sutherland,0.214,0.296,3,4.1,-1.0999999999999996
366,Randy Neufeld,0.5,0.605,2,2.4,-0.3999999999999999
367,Alexandre Leduc,0.429,0.46,3,3.2,-0.20000000000000018
368,Jiahong Ma,0.273,0.42,3,4.6,-1.5999999999999996
369,Gert Precenth,0.4,0.5,2,2.5,-0.5
370,Viktor Gustafsson,0.4,0.265,2,1.3,0.7
371,Tony Poelder,0.4,0.518,2,2.6,-0.6000000000000001
372,Reto Seiler,0.286,0.338,2,2.4,-0.3999999999999999
373,Pavol Pitonak,0.222,0.391,2,3.5,-1.5
374,Ramy Cohen,0.5,0.394,2,1.6,0.3999999999999999
375,Cameron McNay,0.143,0.2,1,1.4,-0.3999999999999999
376,Giacomo Colli,0.222,0.336,2,3.0,-1.0
377,Aleksandr Bystrov,0.429,0.458,3,3.2,-0.20000000000000018
378,Robert Wright,0.286,0.281,2,2.0,0.0
379,Thomas Freitag,0.429,0.372,3,2.6,0.3999999999999999
380,Travis Belchior,0.25,0.333,2,2.7,-0.7000000000000002
381,Steve Wright,0.5,0.343,2,1.4,0.6000000000000001
382,Kurt Balderston,0.333,0.406,3,3.7,-0.7000000000000002
383,Xavier Campos,0.333,0.302,3,2.7,0.2999999999999998
384,Angel Garcia A.,0.333,0.368,3,3.3,-0.2999999999999998
385,Maximo Calvo,0.333,0.364,3,3.3,-0.2999999999999998
386,Sawer Kaeser,0.222,0.228,2,2.1,-0.10000000000000009
387,Drew Heidt,0.571,0.5,4,3.5,0.5
388,Jerome Adam,0.333,0.233,3,2.1,0.8999999999999999
389,Yoshiaki Sakaguchi,0.429,0.664,3,5.3,-2.3
390,Eirik Oy,0.4,0.341,2,1.7,0.30000000000000004
391,Mathias Braenden,0.4,0.579,2,2.9,-0.8999999999999999
392,Mitchell Katcher,0.286,0.318,2,2.2,-0.20000000000000018
393,Nick Myers,0.5,0.546,3,3.3,-0.2999999999999998
394,Nicholas Connolly,0.429,0.415,3,2.9,0.10000000000000009
395,Erik Jensen,0.333,0.482,3,4.3,-1.2999999999999998
396,Rick Phillips,0.5,0.43,3,2.6,0.3999999999999999
397,Nando Salviulo,0.333,0.262,2,1.6,0.3999999999999999
398,Regis Bosse,0.5,0.469,3,2.8,0.20000000000000018
399,Andrew Wickman,0.5,0.563,2,2.3,-0.2999999999999998
400,Bill Turner,0.571,0.468,4,3.3,0.7000000000000002
401,Ross LaVallee,0.167,0.167,3,3.0,0.0
402,Jeff Ginter,0.583,0.62,7,7.4,-0.40000000000000036
403,Phil Gorveatt,0.625,0.542,5,4.3,0.7000000000000002
404,Allan Gitzel,0.5,0.516,3,3.1,-0.10000000000000009
405,Garion Long,0.25,0.131,1,0.5,0.5
406,Sylvain Bellavance,0.375,0.448,3,3.6,-0.6000000000000001
407,Jaroslav Vedral,0.5,0.594,2,2.4,-0.3999999999999999
408,Aaron Thompson,0.375,0.296,3,2.4,0.6000000000000001
409,Neil Gallant,0.167,0.248,2,3.0,-1.0
410,Nicholas Servant,0.5,0.307,2,1.2,0.8
411,Ken Robichaud,0.5,0.439,2,1.8,0.19999999999999996
412,Benjamin Randall,0.429,0.467,3,3.3,-0.2999999999999998
413,Daniel Casper,0.429,0.39,3,2.7,0.2999999999999998
414,Shun Tanaka,0.6,0.605,3,3.0,0.0
415,Shaun Parsons,0.5,0.478,2,1.9,0.10000000000000009
416,Mitchell Schut,0.571,0.552,4,3.9,0.10000000000000009
417,Eddie MacKenzie,0.571,0.578,4,4.0,0.0
